amfi_code,scheme_name,score,final_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,100.0,1
120505,ICICI Pru Midcap Fund - Regular - Growth,94.44,2
120843,Kotak Flexicap Fund - Regular - Growth,94.09,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,92.35,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,91.31,5
119094,Axis Midcap Fund - Regular - Growth,87.14,6
119551,SBI Bluechip Fund - Regular Plan - Growth,84.1,7
148569,Mirae Asset Tax Saver Fund - Regular - Growth,82.54,8
101206,ABSL Frontline Equity Fund - Regular - Growth,74.89,9
119598,SBI Small Cap Fund - Regular Plan - Growth,73.76,10
149323,DSP Midcap Fund - Regular - Growth,72.89,11
149324,DSP Small Cap Fund - Regular - Growth,72.81,12
118632,Nippon India Large Cap Fund - Regular - Growth,72.63,13
119552,SBI Bluechip Fund - Direct Plan - Growth,71.85,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,62.47,15
118635,Nippon India ETF Nifty 50 BeES,62.12,16
118633,Nippon India Large Cap Fund - Direct - Growth,61.51,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,56.56,18
120503,ICICI Pru Bluechip Fund - Regular - Growth,54.65,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,54.39,20
120506,ICICI Pru Value Discovery Fund - Regular - Growth,51.17,21
120507,ICICI Pru Liquid Fund - Regular - Growth,46.83,22
119093,Axis Bluechip Fund - Direct - Growth,46.31,23
102887,UTI Flexi Cap Fund - Regular - Growth,44.31,24
149322,DSP Top 100 Equity Fund - Regular - Growth,40.83,25
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,38.66,26
120844,Kotak Liquid Fund - Regular - Growth,37.27,27
120841,Kotak Bluechip Fund - Regular - Growth,34.84,28
118634,Nippon India Small Cap Fund - Regular - Growth,33.36,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,28.24,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,27.02,31
101208,ABSL Liquid Fund - Regular - Growth,25.8,32
100025,HDFC Short Term Debt Fund - Regular - Growth,24.41,33
120842,Kotak Emerging Equity Fund - Regular - Growth,18.51,34
119599,SBI Small Cap Fund - Direct Plan - Growth,13.38,35
119092,Axis Bluechip Fund - Regular - Growth,11.47,36
101207,ABSL Small Cap Fund - Regular - Growth,10.77,37
119095,Axis Small Cap Fund - Regular - Growth,4.08,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.09,39
102886,UTI Mid Cap Fund - Regular - Growth,0.0,40
