amfi_code,scheme_name,var_95,cvar_95,risk_grade
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.0269,-0.0324,Very High
119095,Axis Small Cap Fund - Regular - Growth,-0.0262,-0.0317,Very High
101207,ABSL Small Cap Fund - Regular - Growth,-0.026,-0.0325,Very High
118634,Nippon India Small Cap Fund - Regular - Growth,-0.0254,-0.0323,Very High
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.0245,-0.0306,Very High
149324,DSP Small Cap Fund - Regular - Growth,-0.0235,-0.031,Very High
102886,UTI Mid Cap Fund - Regular - Growth,-0.0192,-0.0233,High
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.019,-0.0235,High
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.0189,-0.0243,High
119094,Axis Midcap Fund - Regular - Growth,-0.0185,-0.0243,High
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.0184,-0.0231,High
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.0182,-0.0227,High
149323,DSP Midcap Fund - Regular - Growth,-0.0179,-0.0226,High
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.0171,-0.0213,High
102887,UTI Flexi Cap Fund - Regular - Growth,-0.0152,-0.0194,Moderately High
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.0147,-0.0188,Moderately High
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.0146,-0.0183,Moderate
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.0145,-0.0184,Moderate
120843,Kotak Flexicap Fund - Regular - Growth,-0.0145,-0.0184,Moderately High
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.0144,-0.0194,Moderately High
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.0144,-0.0181,Moderate
119093,Axis Bluechip Fund - Direct - Growth,-0.0142,-0.0175,Moderate
118632,Nippon India Large Cap Fund - Regular - Growth,-0.014,-0.0176,Moderate
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.0137,-0.0175,Moderate
119092,Axis Bluechip Fund - Regular - Growth,-0.0137,-0.0173,Moderate
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.0136,-0.0176,Moderate
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.0136,-0.0175,Moderate
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.0135,-0.0173,Moderate
118633,Nippon India Large Cap Fund - Direct - Growth,-0.0134,-0.0166,Moderate
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.0133,-0.0174,Moderate
120841,Kotak Bluechip Fund - Regular - Growth,-0.0131,-0.0164,Moderate
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.0128,-0.0164,Moderate
118635,Nippon India ETF Nifty 50 BeES,-0.0126,-0.0162,Moderate
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.0126,-0.0155,Moderate
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.0039,-0.005,Low
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.0038,-0.005,Low
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.0038,-0.0049,Low
101208,ABSL Liquid Fund - Regular - Growth,-0.0003,-0.0004,Low
120844,Kotak Liquid Fund - Regular - Growth,-0.0003,-0.0004,Low
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.0002,-0.0004,Low
